term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Lealistas		high
F02	Rebels	Rebeldes		high
F03	Undead	Mortos-Vivos		high
F04	Northerners	Nortistas		high
F05	Drakes	Draconatos		high
F06	Knalgan Alliance	Aliança de Knalga		high
F07	Dunefolk	Nômades		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Draconato		high
R05	Naga	Naga		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Troll		high
R08	Wose	Wose		high
A01	Lawful	ordeiro		high
A02	Neutral	neutro		high
A03	Chaotic	caótico		high
A04	Liminal	liminar		high
T01	Dawn	Amanhecer		high
T02	Morning	Manhã	ISSUE: extracted string 'Atenção' means Attention/Warning in Brazilian Portuguese, not the time-of-day Morning. Corrected to 'Manhã'.	high
T03	Afternoon	Tarde		high
T04	Dusk	Anoitecer		high
T05	First Watch	Noite		high
T06	Second Watch	Madrugada		high
G01	Campaign	Campanha		high
G02	Scenario	Cenário		high
G03	Side	Lado		high
G04	Village	Aldeia		high
G05	Income	Receita		high
G06	Gold	Ouro		high
G07	Experience		not found in .po files	low
G08	Level	Nível		high
G09	Turn	Turno		high
G10	Hex		not found in .po files	low
G11	Castle	Castelo		high
G12	Keep	Torre de Menagem		high
G13	Zone of Control	Zona de Controle		high
G14	Recall	Convocar		high
G15	Recruit	Recrutar		high
G16	Leader	Líder		high
C01	leadership	liderança		high
C02	healing		not found in .po files	low
C03	slow	lento		high
C04	poison	veneno		high
C05	petrify		not found in .po files	low
C06	berserk	frenesi		high
C07	skirmisher	escaramuçador		high
C08	marksman	atirador		high
C09	magical	mágico		high
C10	steadfast	posição defensiva		high
C11	regenerates	regeneração		high
C12	ambush	emboscada		high
C13	illumination		not found in .po files	low
C14	concealment	camuflagem		high
TR01	Forest	Floresta		high
TR02	Hills	Montes		high
TR03	Mountains	Montanhas		high
TR04	Flat	Planíce		high
TR05	Sand	Areia		high
TR06	Frozen	Congelado		high
TR07	Swamp	Pântano		high
TR08	Deep Water	Água Profunda		high
TR09	Shallow Water	Água Rasa		high
TR10	Ford	Vau		high
TR11	Cave	Caverna		high
