term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Лоялисти		high
F02	Rebels	Бунтовници		high
F03	Undead	Немъртви		high
F04	Northerners	Северняците		high
F05	Drakes	Змейове		high
F06	Knalgan Alliance	Съюзът на Налга		high
F07	Dunefolk	Пустинници		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Змей		high
R05	Naga	Нага		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Трол		high
R08	Wose	Уз		high
A01	Lawful	праведен		high
A02	Neutral	неутрален		high
A03	Chaotic	хаотичен		high
A04	Liminal	лиминален		high
T01	Dawn	Зора		high
T02	Morning	Утро	ISSUE: extracted string 'Предупреждение' means Warning in Bulgarian, not the time-of-day Morning. Corrected to 'Утро'.	high
T03	Afternoon	Следобед		high
T04	Dusk	Здрач		high
T05	First Watch	Първа стража		high
T06	Second Watch	Втора стража		high
G01	Campaign	Кампания	FLAG: original extraction included internal markup prefix 'addon_type^Кампания'. Prefix stripped; actual word is 'Кампания'.	high
G02	Scenario	Сценарий	FLAG: extracted 'Отдалечена мисия' means Remote Mission — a specific UI context. The generic Scenario concept should be 'Сценарий'. Confidence lowered.	medium
G03	Side	Страна	FLAG: extracted 'Следваща страна' means Next side — a UI navigation label. The concept name would be 'Страна'. Confidence lowered.	medium
G04	Village	Селище		high
G05	Income		not found in .po files	low
G06	Gold	Злато		high
G07	Experience		not found in .po files	low
G08	Level	Ниво		high
G09	Turn	Ход		high
G10	Hex		not found in .po files	low
G11	Castle	Замък		high
G12	Keep	Крепост		high
G13	Zone of Control	Зона на контрол		high
G14	Recall	Привикване		high
G15	Recruit	Набор		high
G16	Leader	Водач		high
C01	leadership	водачество		high
C02	healing		not found in .po files	low
C03	slow	бавен		high
C04	poison	отрова		high
C05	petrify		not found in .po files	low
C06	berserk	бурна ярост		high
C07	skirmisher	бързоходство		high
C08	marksman	смъртнострелец		high
C09	magical	магическа		high
C10	steadfast	непоклатимост		high
C11	regenerates	регенерация		high
C12	ambush	засада		high
C13	illumination		not found in .po files	low
C14	concealment	прикритие		high
TR01	Forest	Гора		high
TR02	Hills	Хълмове		high
TR03	Mountains	Планини		high
TR04	Flat	Равнина		high
TR05	Sand	Пясъци		high
TR06	Frozen	Заледена земя		high
TR07	Swamp	Блато		high
TR08	Deep Water	Дълбоки води		high
TR09	Shallow Water	Плитки води		high
TR10	Ford		not found in .po files	low
TR11	Cave	Пещера		high
