term_id	term	canonical_translation	notes	confidence
F01	Loyalists	נאמנים		high
F02	Rebels	מורדים		high
F03	Undead	אל-מתים		high
F04	Northerners	צפוניים		high
F05	Drakes	דרקודם		high
F06	Knalgan Alliance	ברית קנלגאן		high
F07	Dunefolk	אל-מתים		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	דרקודם		high
R05	Naga	נאגה		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	טרול		high
R08	Wose	ווס		high
A01	Lawful	סדר		high
A02	Neutral	ניטרלי		high
A03	Chaotic	תוהו		high
A04	Liminal	ספי		high
T01	Dawn	שחר		high
T02	Morning	בוקר	ISSUE: extracted string 'אזהרה' means Warning in Hebrew, not the time-of-day Morning. Corrected to 'בוקר'.	high
T03	Afternoon	"אחה\""צ"		high
T04	Dusk	בין ערביים		high
T05	First Watch	משמרת ראשונה		high
T06	Second Watch	משמרת שניה		high
G01	Campaign	מערכה		high
G02	Scenario	סיים התקלות		high
G03	Side	צד		high
G04	Village	כפר		high
G05	Income	ברוך הבא	ISSUE: 'ברוך הבא' means Welcome in Hebrew, not Income. Extraction collision. Confidence lowered.	low
G06	Gold	זהב		high
G07	Experience		not found in .po files	low
G08	Level	רמה		high
G09	Turn	תור		high
G10	Hex		not found in .po files	low
G11	Castle	טירה		high
G12	Keep	מצודה		high
G13	Zone of Control		not found in .po files	low
G14	Recall	החזר		high
G15	Recruit	גייס		high
G16	Leader	מנהיג		high
C01	leadership	מנהיגות		high
C02	healing		not found in .po files	low
C03	slow	איטי		high
C04	poison	רעל		high
C05	petrify		not found in .po files	low
C06	berserk	משוגע		high
C07	skirmisher	מסתנן		high
C08	marksman	צליפה		high
C09	magical	קסום		high
C10	steadfast	קור רוח		high
C11	regenerates	התחדשות		high
C12	ambush	מארב		high
C13	illumination		not found in .po files	low
C14	concealment	הסתתרות		high
TR01	Forest	יער		high
TR02	Hills	גבעות	ISSUE: 'הריגות' means Killings/Murders in Hebrew — not a terrain type. Severe extraction collision, likely from a battle results screen. Suggested: 'גבעות' (hills). Confidence lowered.	low
TR03	Mountains	הרים		high
TR04	Flat	שטוח		high
TR05	Sand	חול		high
TR06	Frozen	קפוא		high
TR07	Swamp	מי ביצה		high
TR08	Deep Water	מים עמוקים		high
TR09	Shallow Water	מים רדודים		high
TR10	Ford	חציית נהר		high
TR11	Cave	מערה		high
