term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Ustav		high
F02	Rebels	Mässajad		high
F03	Undead	Kooljad		high
F04	Northerners	Põhjalased		high
F05	Drakes	Lohed		high
F06	Knalgan Alliance	Knalga Liit		high
F07	Dunefolk	Kooljad		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Lohe		high
R05	Naga	Naga		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Troll		high
R08	Wose	Puuvaim		high
A01	Lawful	kuulekas		high
A02	Neutral	ükskõikne		high
A03	Chaotic	korratu		high
A04	Liminal	kahetine		high
T01	Dawn	Koit		high
T02	Morning	Hommik	ISSUE: extracted string 'Hoiatus' means Warning in Estonian, not the time-of-day Morning. Corrected to 'Hommik'.	high
T03	Afternoon	Pärastlõuna		high
T04	Dusk	Hämarik		high
T05	First Watch	Esimene öövahikord		high
T06	Second Watch	Teine  öövahikord		high
G01	Campaign	Sõjakäik		high
G02	Scenario	Lõpeta stsenaarium		high
G03	Side	Osapool		high
G04	Village	Küla		high
G05	Income	Tere tulemast	ISSUE: 'Tere tulemast' means Welcome in Estonian, not Income. Extraction collision. Confidence lowered.	low
G06	Gold	Kuld		high
G07	Experience		not found in .po files	low
G08	Level	tase		high
G09	Turn	Käik		high
G10	Hex		not found in .po files	low
G11	Castle	Loss		high
G12	Keep	Pesa		high
G13	Zone of Control		not found in .po files	low
G14	Recall	Kutsu tagasi		high
G15	Recruit	Värba		high
G16	Leader	Pealik		high
C01	leadership	väejuht		high
C02	healing		not found in .po files	low
C03	slow	aeglane		high
C04	poison	mürgitav		high
C05	petrify		not found in .po files	low
C06	berserk	segane		high
C07	skirmisher	tabamatu		high
C08	marksman	täpsuskütt		high
C09	magical	võluväeline		high
C10	steadfast	vankumatu		high
C11	regenerates	taastuv		high
C12	ambush	varitsev		high
C13	illumination		not found in .po files	low
C14	concealment	peituv		high
TR01	Forest	Mets		high
TR02	Hills	Künkad		high
TR03	Mountains	Mäed		high
TR04	Flat	Rohumaa		high
TR05	Sand	Liiv		high
TR06	Frozen	Lumi		high
TR07	Swamp	Soo		high
TR08	Deep Water	Sügav vesi		high
TR09	Shallow Water	Madal vesi		high
TR10	Ford	Koolmekoht		high
TR11	Cave	Koobas		high
