term_id	term	canonical_translation	notes	confidence
F01	Loyalists	Верноподданные		high
F02	Rebels	Мятежники		high
F03	Undead	Нежить		high
F04	Northerners	Северяне		high
F05	Drakes	Дрейки		high
F06	Knalgan Alliance	Альянс Кналга		high
F07	Dunefolk	Народ пустыни		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	Зомби-дрейк		high
R05	Naga	Наг		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	Тролль		high
R08	Wose	Древень		high
A01	Lawful	порядочный		high
A02	Neutral	нейтральный		high
A03	Chaotic	хаотичный		high
A04	Liminal	теневой		high
T01	Dawn	Рассвет		high
T02	Morning	Утро	ISSUE: extracted string 'Предупреждение' means Warning/Notice in Russian, not the time-of-day Morning. Corrected to 'Утро'.	high
T03	Afternoon	День		high
T04	Dusk	Закат		high
T05	First Watch	Первая стража		high
T06	Second Watch	Вторая стража		high
G01	Campaign	Кампания		high
G02	Scenario	Сценарий		high
G03	Side	Сторона		high
G04	Village	Деревня		high
G05	Income	Доход		high
G06	Gold	Золото		high
G07	Experience		not found in .po files	low
G08	Level	Уровень		high
G09	Turn	Ход		high
G10	Hex		not found in .po files	low
G11	Castle	Замок		high
G12	Keep	Штаб		high
G13	Zone of Control	Зона контроля		high
G14	Recall	Призвать		high
G15	Recruit	Вербовать		high
G16	Leader	Лидер		high
C01	leadership	лидерство		high
C02	healing		not found in .po files	low
C03	slow	медленный		high
C04	poison	яд		high
C05	petrify		not found in .po files	low
C06	berserk	берсерк		high
C07	skirmisher	неуловимый		high
C08	marksman	меткий		high
C09	magical	магия		high
C10	steadfast	стойкий		high
C11	regenerates	регенерация		high
C12	ambush	засада		high
C13	illumination		not found in .po files	low
C14	concealment	скрытность		high
TR01	Forest	Лес		high
TR02	Hills	Холмы		high
TR03	Mountains	Горы		high
TR04	Flat	Равнина		high
TR05	Sand	Песок		high
TR06	Frozen	Мерзлота		high
TR07	Swamp	Болото		high
TR08	Deep Water	Глубокая вода		high
TR09	Shallow Water	Отмель		high
TR10	Ford	Брод		high
TR11	Cave	Пещера		high
