term_id	term	canonical_translation	notes	confidence
F01	Loyalists	লয়ালিস্টস্		high
F02	Rebels		not found in .po files	low
F03	Undead	না-মৃত		high
F04	Northerners	উত্তর নিবাসীরা		high
F05	Drakes	ড্রেকরা		high
F06	Knalgan Alliance		not found in .po files	low
F07	Dunefolk	মরু মানবেরা		high
R01	Elvish		not found in .po files	low
R02	Orcish		not found in .po files	low
R03	Dwarven		not found in .po files	low
R04	Drake	ড্রেক		high
R05	Naga	নাগ		high
R06	Merman/Mermaid		not found in .po files	low
R07	Troll	ট্রোল		high
R08	Wose	বৃক্ষাত্মা		high
A01	Lawful	নৈতিক		high
A02	Neutral	নিরপেক্ষ		high
A03	Chaotic	অনৈতিক		high
A04	Liminal	মধ্যবর্তী		high
T01	Dawn	ভোর		high
T02	Morning	সকাল		high
T03	Afternoon	বিকেল		high
T04	Dusk	সন্ধ্যা		high
T05	First Watch	রাত্রির প্রথমার্ধ		high
T06	Second Watch	রাত্রির দ্বিতীয়ার্ধ		high
G01	Campaign	অভিযান		high
G02	Scenario	ঘটনাক্রম		high
G03	Side	দল		high
G04	Village	গ্রাম		high
G05	Income	আয়		high
G06	Gold	স্বর্ণ		high
G07	Experience		not found in .po files	low
G08	Level	পর্যায়		high
G09	Turn	দান		high
G10	Hex		not found in .po files	low
G11	Castle	প্রাসাদ		high
G12	Keep	দূর্গ		high
G13	Zone of Control	নিয়ন্ত্রণের ক্ষেত্র		high
G14	Recall	পুনরায় ডাকুন		high
G15	Recruit	নিয়োগ		high
G16	Leader	দলনেতা		high
C01	leadership	নেতৃত্ব		high
C02	healing		not found in .po files	low
C03	slow	ধীর		high
C04	poison	বিষ		high
C05	petrify		not found in .po files	low
C06	berserk	ক্ষিপ্ত		high
C07	skirmisher	সংঘর্ষক		high
C08	marksman	লক্ষ্যবিদ		high
C09	magical	জাদু		high
C10	steadfast	স্থিরচিত্ত		high
C11	regenerates	পুনরুদ্ধার		high
C12	ambush	অতর্কিত আক্রমণ		high
C13	illumination		not found in .po files	low
C14	concealment	গোপনীয়তা		high
TR01	Forest	অরণ্য		high
TR02	Hills	পাহাড়		high
TR03	Mountains	পর্বত		high
TR04	Flat	সমতল		high
TR05	Sand	বালি		high
TR06	Frozen	বরফ		high
TR07	Swamp	জলাভুমি		high
TR08	Deep Water	গভীর জল		high
TR09	Shallow Water	অগভীর জল		high
TR10	Ford	ফোর্ড		high
TR11	Cave	গুহা		high
